Dấu thời gian,Bạn là sinh viên năm mấy ?,Trung bình tuần bạn giành thời gian bao lâu để học ngoài giờ trên lớp?,"Số môn hiện tại học kì này bạn đang học là bao nhiêu môn?
",Hiện tại bạn có đang đi làm thêm không?,Bạn có tham gia CLB đoàn hội của trường không?,Tỷ lệ tham gia các buổi học trên lớp của bạn trung  bình là bao nhiêu?,Bạn thường học theo hình thức nào ?,Thời gian trung bình bạn dành ra để ngủ là bao lâu?,Bạn dành thời gian trung bình bao lâu trong 1 ngày để lướt mạng xã hội,GPA kì gần nhất của bạn là bao nhiêu?
5/21/2026 20:51:25,Năm 2,15 - 20 tiếng,6,Không,KHÔNG,70 - 90%,"Học theo nhóm, Cả 2",> 8 tiếng,> 6 tiếng,> 3.5
5/21/2026 20:51:47,Năm 1,6-10 tiếng,3 môn,Không,KHÔNG,50 - 70%,Học theo nhóm,5 - 6 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 20:51:52,Năm 1,10 - 15 tiếng,8,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:51:58,Năm 2,< 6 tiếng,6,Không,CÓ,50 - 70%,Cả 2,< 5 tiếng,< 2 tiếng,< 2.0
5/21/2026 20:52:04,Năm 2,6-10 tiếng,7,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:52:38,Năm 1,6-10 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:53:53,Năm 2,6-10 tiếng,6,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,tự học,6 - 8 tiếng,< 2 tiếng,2.5 - 3.0
5/21/2026 20:53:54,Năm 1,15 - 20 tiếng,8,Không,KHÔNG,> 90 %,tự học,< 5 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:56:58,Năm 4,< 6 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:57:01,Năm 3,> 20 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:57:17,Năm 3,6-10 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:57:50,Năm 3,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:58:55,Năm 1,10 - 15 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,< 5 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:59:15,Năm 2,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 20:59:25,Năm 2,15 - 20 tiếng,7,Trên 20 tiếng/tuần,KHÔNG,70 - 90%,tự học,5 - 6 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 21:00:44,Năm 1,> 20 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,tự học,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:01:00,Năm 3,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:01:21,Năm 4,15 - 20 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:02:11,Năm 1,6-10 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:02:27,Năm 2,6-10 tiếng,4,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:02:58,Năm 3,10 - 15 tiếng,4,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:03:16,Năm 2,10 - 15 tiếng,7,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:03:30,Năm 1,10 - 15 tiếng,4,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:03:50,Năm 2,15 - 20 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 21:07:07,Năm 2,6-10 tiếng,3,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:07:31,Năm 3,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,tự học,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:07:45,Năm 3,10 - 15 tiếng,4,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:07:58,Năm 2,6-10 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 21:08:11,Năm 2,10 - 15 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:08:30,Năm 3,6-10 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:08:42,Năm 2,15 - 20 tiếng,7,Không,CÓ,70 - 90%,Học theo nhóm,6 - 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 21:08:44,Năm 4,6-10 tiếng,5,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Học theo nhóm,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:08:50,Năm 1,6-10 tiếng,7,Dưới 20 tiếng/ tuần,KHÔNG,50 - 70%,Cả 2,5 - 6 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 21:08:57,Năm 4,10 - 15 tiếng,6,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:09:08,Năm 1,> 20 tiếng,9,Dưới 20 tiếng/ tuần,CÓ,> 90 %,tự học,> 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 21:09:17,Năm 4,15 - 20 tiếng,4,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:09:35,Năm 3,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,tự học,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:09:45,Năm 3,15 - 20 tiếng,7,Trên 20 tiếng/tuần,CÓ,> 90 %,tự học,6 - 8 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 21:09:49,Năm 4,6-10 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:10:12,Năm 4,15 - 20 tiếng,4,Không,CÓ,> 90 %,Học theo nhóm,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:10:14,Năm 1,6-10 tiếng,6,Không,KHÔNG,50 - 70%,Học theo nhóm,< 5 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 21:10:24,Năm 3,6-10 tiếng,5,Không,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:10:36,Năm 2,15 - 20 tiếng,6,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:10:43,Năm 2,15 - 20 tiếng,8,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:10:51,Năm 3,10 - 15 tiếng,4,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:11:19,Năm 2,6-10 tiếng,4,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:11:23,Năm 2,10 - 15 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Cả 2,5 - 6 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 21:11:45,Năm 4,15 - 20 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:12:00,Năm 2,6-10 tiếng,6,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 21:12:12,Năm 3,6-10 tiếng,6,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 21:12:13,Năm 2,10 - 15 tiếng,7,Không,KHÔNG,< 50%,Cả 2,< 5 tiếng,2 - 4 tiếng,2.0 - 2.5
5/21/2026 21:12:50,Năm 1,6-10 tiếng,4,Không,CÓ,> 90 %,Học theo nhóm,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:13:02,Năm 3,10 - 15 tiếng,8,Không,CÓ,70 - 90%,Cả 2,< 5 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 21:13:05,Năm 3,10 - 15 tiếng,5,Trên 20 tiếng/tuần,CÓ,> 90 %,Học theo nhóm,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:13:18,Năm 2,> 20 tiếng,8,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:13:26,Năm 4,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:13:53,Năm 1,> 20 tiếng,9,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 21:13:58,Năm 4,6-10 tiếng,3,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:14:37,Năm 1,6-10 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:14:46,Năm 1,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:14:56,Năm 1,15 - 20 tiếng,4,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:15:11,Năm 3,15 - 20 tiếng,4,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 21:15:25,Năm 2,10 - 15 tiếng,6,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:15:41,Năm 3,6-10 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 21:16:07,Năm 3,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:16:25,Năm 3,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:16:49,Năm 4,15 - 20 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:17:03,Năm 2,6-10 tiếng,4,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 21:17:25,Năm 4,15 - 20 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 21:18:46,Năm 2,10 - 15 tiếng,4,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:19:44,Năm 2,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:20:08,Năm 1,10 - 15 tiếng,9,Trên 20 tiếng/tuần,CÓ,70 - 90%,Học theo nhóm,5 - 6 tiếng,> 6 tiếng,> 3.5
5/21/2026 21:20:13,Năm 3,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:20:35,Năm 4,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:20:49,Năm 1,10 - 15 tiếng,9,Dưới 20 tiếng/ tuần,CÓ,> 90 %,tự học,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:20:56,Mục khác:,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:21:35,Năm 3,< 6 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,> 90 %,tự học,> 8 tiếng,< 2 tiếng,2.5 - 3.0
5/21/2026 21:22:16,Năm 3,> 20 tiếng,7,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 21:22:59,Năm 1,< 6 tiếng,8,Không,KHÔNG,< 50%,tự học,< 5 tiếng,< 2 tiếng,2.0 - 2.5
5/21/2026 21:23:43,Năm 3,> 20 tiếng,8,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:23:43,Năm 3,15 - 20 tiếng,7,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:25:35,Năm 2,15 - 20 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,> 90 %,tự học,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:25:41,Năm 2,> 20 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,< 5 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:26:01,Năm 2,15 - 20 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:26:10,Năm 1,15 - 20 tiếng,7,Không,KHÔNG,> 90 %,tự học,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:26:20,Năm 3,10 - 15 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:26:35,Năm 4,15 - 20 tiếng,5,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,> 3.5
5/21/2026 21:26:46,Năm 1,> 20 tiếng,10,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 21:26:48,Năm 4,15 - 20 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:27:01,Năm 3,< 6 tiếng,6,Trên 20 tiếng/tuần,KHÔNG,70 - 90%,tự học,5 - 6 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 21:27:15,Năm 3,15 - 20 tiếng,5,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 21:27:19,Năm 2,10 - 15 tiếng,6,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 21:27:30,Năm 4,6-10 tiếng,4,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:27:43,Năm 3,15 - 20 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 21:27:47,Năm 2,> 20 tiếng,9,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,> 3.5
5/21/2026 21:27:57,Năm 4,> 20 tiếng,2,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 21:31:41,Năm 3,15 - 20 tiếng,7,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
